Date,Region,Postcode,Latitude,Longitude,Sales,Profit,Orders,Profit_Margin_Pct,Territory_Performance
2026-01-01,Darwin,0800,-12.4634,130.8456,125686.0,24829.2,364,19.75,High
2026-01-01,Palmerston,0830,-12.486,130.983,105397.6,19642.48,299,18.64,Medium
2026-01-01,Alice Springs,0870,-23.698,133.8807,88774.4,17584.16,248,19.81,Medium
2026-01-01,Katherine,0850,-14.4652,132.2635,72160.0,12462.56,198,17.27,Low
2026-01-01,Tennant Creek,0860,-19.6497,134.1914,55290.4,8537.76,152,15.44,Low
2026-01-01,Nhulunbuy,0880,-12.1825,136.7819,59809.2,10043.44,160,16.79,Low
2026-01-01,Jabiru,0886,-12.6667,132.8333,48232.8,7885.68,127,16.35,Low
2026-01-01,Yulara,0872,-25.2406,130.9889,64873.6,11267.52,175,17.37,Low
2026-02-01,Darwin,0800,-12.4634,130.8456,131950.0,26194.35,382,19.85,High
2026-02-01,Palmerston,0830,-12.486,130.983,110601.4,20714.33,314,18.73,Medium
2026-02-01,Alice Springs,0870,-23.698,133.8807,93220.4,17124.38,260,18.37,Medium
2026-02-01,Katherine,0850,-14.4652,132.2635,75739.3,13153.14,208,17.37,Low
2026-02-01,Tennant Creek,0860,-19.6497,134.1914,53844.7,9007.18,148,16.73,Low
2026-02-01,Nhulunbuy,0880,-12.1825,136.7819,62790.0,10591.49,168,16.87,Low
2026-02-01,Jabiru,0886,-12.6667,132.8333,50614.2,7679.49,133,15.17,Low
2026-02-01,Yulara,0872,-25.2406,130.9889,68122.6,11891.88,184,17.46,Low
2026-03-01,Darwin,0800,-12.4634,130.8456,139816.25,27887.25,405,19.95,High
2026-03-01,Palmerston,0830,-12.486,130.983,108737.0,20365.15,309,18.73,Medium
2026-03-01,Alice Springs,0870,-23.698,133.8807,98800.0,18245.7,276,18.47,Medium
2026-03-01,Katherine,0850,-14.4652,132.2635,80237.0,14008.7,220,17.46,Medium
2026-03-01,Tennant Creek,0860,-19.6497,134.1914,57080.75,9589.3,157,16.8,Low
2026-03-01,Nhulunbuy,0880,-12.1825,136.7819,66533.25,10412.95,178,15.65,Low
2026-03-01,Jabiru,0886,-12.6667,132.8333,49761.0,8182.35,131,16.44,Low
2026-03-01,Yulara,0872,-25.2406,130.9889,72200.0,12665.4,195,17.54,Low
